time,S,E,I,H,R,Active,Recovered,Susceptible
0.0,9900,100,0,0,0,100,0,9900
26.764546027717287,9900,99,1,0,0,100,0,9900
46.42275852029732,9900,99,0,1,0,100,0,9900
56.76807232824429,9900,99,0,0,1,99,1,9900
69.45771984461263,9900,98,1,0,1,99,1,9900
108.12740115476329,9900,98,0,0,2,98,2,9900
119.8868113875337,9900,97,1,0,2,98,2,9900
137.31923291791446,9900,96,2,0,2,98,2,9900
150.39918343480886,9900,95,3,0,2,98,2,9900
160.88439521899215,9900,94,4,0,2,98,2,9900
182.15898897843502,9900,94,3,1,2,98,2,9900
208.2031059322064,9900,94,2,1,3,97,3,9900
218.40894236834635,9900,94,2,0,4,96,4,9900
229.07961252007098,9900,93,3,0,4,96,4,9900
256.79330261952737,9900,92,4,0,4,96,4,9900
343.47680606193717,9900,92,3,0,5,95,5,9900
408.1215990338234,9900,91,4,0,5,95,5,9900
511.5406202496832,9900,91,3,1,5,95,5,9900
573.420567236131,9900,91,3,0,6,94,6,9900
591.0032517126357,9900,90,4,0,6,94,6,9900
607.1960429988769,9900,89,5,0,6,94,6,9900
641.3163188020857,9899,90,5,0,6,95,6,9899
1137.1631796219265,9899,90,4,0,7,94,7,9899
1150.0401587231872,9899,89,5,0,7,94,7,9899
1172.1718150356235,9899,89,4,0,8,93,8,9899
1186.8896319946439,9899,88,5,0,8,93,8,9899
1222.8398069962807,9899,88,4,0,9,92,9,9899
1240.3933174514386,9898,89,4,0,9,93,9,9898
1310.3802135397111,9897,90,4,0,9,94,9,9897
1324.1057393941683,9897,90,3,0,10,93,10,9897
1355.0189435371021,9896,91,3,0,10,94,10,9896
2838.7115166406084,9895,92,3,0,10,95,10,9895
2849.876304469822,9895,92,2,0,11,94,11,9895
2870.85024769763,9895,92,1,1,11,94,11,9895
2893.9684635422873,9895,92,0,2,11,94,11,9895
2910.6394520491067,9895,92,0,1,12,93,12,9895
2947.8397111668646,9895,91,1,1,12,93,12,9895
3189.3740859653617,9894,92,1,1,12,94,12,9894
3352.9882925682427,9894,92,0,1,13,93,13,9894
3377.1364136084844,9894,92,0,0,14,92,14,9894
3388.084501837588,9894,91,1,0,14,92,14,9894
3674.339566399727,9893,92,1,0,14,93,14,9893
3687.924788925755,9893,92,0,0,15,92,15,9893
3707.4644500571544,9893,91,1,0,15,92,15,9893
3747.275886346279,9893,90,2,0,15,92,15,9893
3774.89197291288,9893,90,1,1,15,92,15,9893
3789.8632242714266,9893,89,2,1,15,92,15,9893
3812.856329090014,9892,90,2,1,15,93,15,9892
3823.497127750254,9892,90,2,0,16,92,16,9892
3839.3838080600567,9892,90,1,1,16,92,16,9892
3854.9601069155024,9892,90,0,2,16,92,16,9892
3892.3428015505237,9892,90,0,1,17,91,17,9892
3906.4426149546343,9892,89,1,1,17,91,17,9892
4011.5697129929617,9892,89,1,0,18,90,18,9892
4023.336873479041,9892,89,0,1,18,90,18,9892
4040.4716702039627,9892,88,1,1,18,90,18,9892
4096.971004169746,9892,88,0,1,19,89,19,9892
4210.735649300708,9892,88,0,0,20,88,20,9892
4228.235436625742,9892,87,1,0,20,88,20,9892
4259.806547769992,9892,86,2,0,20,88,20,9892
4283.317972033397,9892,86,1,0,21,87,21,9892
4743.9544952601545,9892,86,0,1,21,87,21,9892
4755.084997980845,9892,86,0,0,22,86,22,9892
4772.740458251579,9892,85,1,0,22,86,22,9892
4784.156147250596,9892,85,0,1,22,86,22,9892
4797.431847282523,9892,84,1,1,22,86,22,9892
4808.082921270507,9892,84,0,1,23,85,23,9892
4836.326946694637,9892,84,0,0,24,84,24,9892
4850.825927611571,9892,83,1,0,24,84,24,9892
